graph_id,shape_id,block_type,batch_size,seq_len,hidden_dim,intermediate_dim,dtype,candidate_id,is_baseline,rewrite_family,plan_desc,num_measure_runs,latency_p50_ms,latency_mean_ms,latency_std_ms,latency_cv,latency_rank_within_graph
g00_000,s0_seq128,transformer_mlp_swiglu,1,128,512,1024,fp16,baseline_separate_silu,1,fusion_related_gate_up_projection,"default: separate gate_proj and up_proj, F.silu(gate) * up",30,0.06451199948787689,0.06567253321409225,0.0025045596211776843,0.03813709474268075,3
g00_000,s0_seq128,transformer_mlp_swiglu,1,128,512,1024,fp16,fused_chunk_manual_silu,0,fusion_related_gate_up_projection,"fused gate/up projection, chunk split, manual gate * sigmoid(gate) * up",30,0.06656000018119812,0.06782293394207954,0.002545395643574108,0.03753001375239625,5
g00_000,s0_seq128,transformer_mlp_swiglu,1,128,512,1024,fp16,fused_chunk_silu,0,fusion_related_gate_up_projection,"fused gate/up projection, chunk split, F.silu(gate) * up",30,0.058368001133203506,0.05986986781160037,0.003603290429894223,0.060185374740313866,1
g00_000,s0_seq128,transformer_mlp_swiglu,1,128,512,1024,fp16,fused_split_inplace_silu,0,fusion_related_gate_up_projection,"fused gate/up projection, torch.split, F.silu(gate) then inplace multiply",30,0.05939200147986412,0.06045013442635536,0.003987761086352178,0.06596777863596567,2
g00_000,s0_seq128,transformer_mlp_swiglu,1,128,512,1024,fp16,separate_inplace_silu,0,fusion_related_gate_up_projection,"separate gate/up projections, F.silu(gate) then inplace multiply",30,0.06451199948787689,0.06471679955720902,0.0014815601842377113,0.022892976698083264,4
g00_000,s0_seq128,transformer_mlp_swiglu,1,128,512,1024,fp16,separate_manual_silu,0,fusion_related_gate_up_projection,"separate gate/up projections, manual gate * sigmoid(gate) * up",30,0.07065600156784058,0.07410346791148185,0.00855712489616106,0.1154753635333602,6
g00_001,s0_seq128,transformer_mlp_swiglu,1,128,768,3072,fp16,baseline_separate_silu,1,fusion_related_gate_up_projection,"default: separate gate_proj and up_proj, F.silu(gate) * up",30,0.08601599931716919,0.08611839935183525,0.0017408005893230437,0.02021403791088862,4
g00_001,s0_seq128,transformer_mlp_swiglu,1,128,768,3072,fp16,fused_chunk_manual_silu,0,fusion_related_gate_up_projection,"fused gate/up projection, chunk split, manual gate * sigmoid(gate) * up",30,0.0870399996638298,0.08772266656160355,0.0020874431183878616,0.02379593781411042,5
g00_001,s0_seq128,transformer_mlp_swiglu,1,128,768,3072,fp16,fused_chunk_silu,0,fusion_related_gate_up_projection,"fused gate/up projection, chunk split, F.silu(gate) * up",30,0.07782399654388428,0.07826773251096407,0.0017870339439682323,0.02283232037823374,1
g00_001,s0_seq128,transformer_mlp_swiglu,1,128,768,3072,fp16,fused_split_inplace_silu,0,fusion_related_gate_up_projection,"fused gate/up projection, torch.split, F.silu(gate) then inplace multiply",30,0.07782399654388428,0.07809706603487333,0.0019417021404422223,0.024862677166068926,2
g00_001,s0_seq128,transformer_mlp_swiglu,1,128,768,3072,fp16,separate_inplace_silu,0,fusion_related_gate_up_projection,"separate gate/up projections, F.silu(gate) then inplace multiply",30,0.08499199897050858,0.08567466586828232,0.0018381368764434237,0.02145484733222545,3
g00_001,s0_seq128,transformer_mlp_swiglu,1,128,768,3072,fp16,separate_manual_silu,0,fusion_related_gate_up_projection,"separate gate/up projections, manual gate * sigmoid(gate) * up",30,0.09113600105047226,0.09291093448797862,0.004351966458603622,0.04684019682491414,6
g00_002,s0_seq128,transformer_mlp_swiglu,1,128,1024,3072,fp16,baseline_separate_silu,1,fusion_related_gate_up_projection,"default: separate gate_proj and up_proj, F.silu(gate) * up",30,0.09216000139713287,0.09311573480566343,0.002643075187591589,0.028384839502236664,3
g00_002,s0_seq128,transformer_mlp_swiglu,1,128,1024,3072,fp16,fused_chunk_manual_silu,0,fusion_related_gate_up_projection,"fused gate/up projection, chunk split, manual gate * sigmoid(gate) * up",30,0.09318400174379349,0.09369600166877111,0.0020776519158101033,0.02217439249067322,5
g00_002,s0_seq128,transformer_mlp_swiglu,1,128,1024,3072,fp16,fused_chunk_silu,0,fusion_related_gate_up_projection,"fused gate/up projection, chunk split, F.silu(gate) * up",30,0.08294399827718735,0.08355839848518372,0.0016212440551324728,0.01940252667025381,1
g00_002,s0_seq128,transformer_mlp_swiglu,1,128,1024,3072,fp16,fused_split_inplace_silu,0,fusion_related_gate_up_projection,"fused gate/up projection, torch.split, F.silu(gate) then inplace multiply",30,0.08294399827718735,0.08372906520962715,0.0026264937971201205,0.031368961191007384,2
g00_002,s0_seq128,transformer_mlp_swiglu,1,128,1024,3072,fp16,separate_inplace_silu,0,fusion_related_gate_up_projection,"separate gate/up projections, F.silu(gate) then inplace multiply",30,0.09216000139713287,0.09250133484601974,0.0015492177318174266,0.016748058116094183,4
g00_002,s0_seq128,transformer_mlp_swiglu,1,128,1024,3072,fp16,separate_manual_silu,0,fusion_related_gate_up_projection,"separate gate/up projections, manual gate * sigmoid(gate) * up",30,0.09779200330376625,0.098099202166001,0.001741802031833102,0.017755516797024185,6
g00_003,s0_seq128,transformer_mlp_swiglu,1,128,1280,3328,fp16,baseline_separate_silu,1,fusion_related_gate_up_projection,"default: separate gate_proj and up_proj, F.silu(gate) * up",30,0.10342399775981903,0.10451626479625702,0.0023039375692213387,0.022043818478517312,4
g00_003,s0_seq128,transformer_mlp_swiglu,1,128,1280,3328,fp16,fused_chunk_manual_silu,0,fusion_related_gate_up_projection,"fused gate/up projection, chunk split, manual gate * sigmoid(gate) * up",30,0.11161600053310394,0.11257173418998719,0.0017121198693309419,0.015209145365402289,6
g00_003,s0_seq128,transformer_mlp_swiglu,1,128,1280,3328,fp16,fused_chunk_silu,0,fusion_related_gate_up_projection,"fused gate/up projection, chunk split, F.silu(gate) * up",30,0.10239999741315842,0.10294613093137742,0.0017080320325328564,0.016591512639473636,1
g00_003,s0_seq128,transformer_mlp_swiglu,1,128,1280,3328,fp16,fused_split_inplace_silu,0,fusion_related_gate_up_projection,"fused gate/up projection, torch.split, F.silu(gate) then inplace multiply",30,0.10239999741315842,0.10287786424160003,0.0022548685012829107,0.02191791711371011,2
g00_003,s0_seq128,transformer_mlp_swiglu,1,128,1280,3328,fp16,separate_inplace_silu,0,fusion_related_gate_up_projection,"separate gate/up projections, F.silu(gate) then inplace multiply",30,0.10291199758648872,0.10301439762115479,0.001765720273509995,0.01714051932821661,3
g00_003,s0_seq128,transformer_mlp_swiglu,1,128,1280,3328,fp16,separate_manual_silu,0,fusion_related_gate_up_projection,"separate gate/up projections, manual gate * sigmoid(gate) * up",30,0.1085439994931221,0.10939733311533928,0.0023954216275957696,0.021896526719442422,5
g00_004,s0_seq128,transformer_mlp_swiglu,1,128,1536,4608,fp16,baseline_separate_silu,1,fusion_related_gate_up_projection,"default: separate gate_proj and up_proj, F.silu(gate) * up",30,0.1228799968957901,0.1228117324411869,0.0019773778840550815,0.016100887470193653,4
g00_004,s0_seq128,transformer_mlp_swiglu,1,128,1536,4608,fp16,fused_chunk_manual_silu,0,fusion_related_gate_up_projection,"fused gate/up projection, chunk split, manual gate * sigmoid(gate) * up",30,0.12544000148773193,0.12574720109502474,0.0016384012686749606,0.013029325936541937,5
g00_004,s0_seq128,transformer_mlp_swiglu,1,128,1536,4608,fp16,fused_chunk_silu,0,fusion_related_gate_up_projection,"fused gate/up projection, chunk split, F.silu(gate) * up",30,0.1157120019197464,0.11598506843050321,0.002242432252627538,0.01933380117778846,1
g00_004,s0_seq128,transformer_mlp_swiglu,1,128,1536,4608,fp16,fused_split_inplace_silu,0,fusion_related_gate_up_projection,"fused gate/up projection, torch.split, F.silu(gate) then inplace multiply",30,0.1157120019197464,0.11584853529930114,0.0016241160574813319,0.014019305926357528,2
g00_004,s0_seq128,transformer_mlp_swiglu,1,128,1536,4608,fp16,separate_inplace_silu,0,fusion_related_gate_up_projection,"separate gate/up projections, F.silu(gate) then inplace multiply",30,0.12185599654912949,0.12291413222750028,0.0028779464966660066,0.02341428478980147,3
g00_004,s0_seq128,transformer_mlp_swiglu,1,128,1536,4608,fp16,separate_manual_silu,0,fusion_related_gate_up_projection,"separate gate/up projections, manual gate * sigmoid(gate) * up",30,0.12902399897575378,0.1292288025220235,0.0016383976365167917,0.012678269894496405,6
g00_005,s0_seq128,transformer_mlp_swiglu,1,128,2048,8192,fp16,baseline_separate_silu,1,fusion_related_gate_up_projection,"default: separate gate_proj and up_proj, F.silu(gate) * up",30,0.19968000054359436,0.20066986431678135,0.002597052610968211,0.01294191641485566,1
g00_005,s0_seq128,transformer_mlp_swiglu,1,128,2048,8192,fp16,fused_chunk_manual_silu,0,fusion_related_gate_up_projection,"fused gate/up projection, chunk split, manual gate * sigmoid(gate) * up",30,0.21913599967956543,0.2207402656475703,0.004807955087509824,0.021781051469721948,6
g00_005,s0_seq128,transformer_mlp_swiglu,1,128,2048,8192,fp16,fused_chunk_silu,0,fusion_related_gate_up_projection,"fused gate/up projection, chunk split, F.silu(gate) * up",30,0.20531199872493744,0.20691626717646916,0.005030009476555236,0.024309395994783614,4
g00_005,s0_seq128,transformer_mlp_swiglu,1,128,2048,8192,fp16,fused_split_inplace_silu,0,fusion_related_gate_up_projection,"fused gate/up projection, torch.split, F.silu(gate) then inplace multiply",30,0.20428799837827682,0.20626773287852604,0.005299028807751401,0.02569005211722608,3
g00_005,s0_seq128,transformer_mlp_swiglu,1,128,2048,8192,fp16,separate_inplace_silu,0,fusion_related_gate_up_projection,"separate gate/up projections, F.silu(gate) then inplace multiply",30,0.19968000054359436,0.20043093115091323,0.0023638416087521075,0.011793796472323264,2
g00_005,s0_seq128,transformer_mlp_swiglu,1,128,2048,8192,fp16,separate_manual_silu,0,fusion_related_gate_up_projection,"separate gate/up projections, manual gate * sigmoid(gate) * up",30,0.20684799551963806,0.20742826610803605,0.002433063776789848,0.01172966357209302,5
g00_006,s0_seq128,transformer_mlp_swiglu,1,128,512,1024,fp16,baseline_separate_silu,1,fusion_related_gate_up_projection,"default: separate gate_proj and up_proj, F.silu(gate) * up",30,0.06451199948787689,0.06516053304076194,0.0026371184572385807,0.0404711001303335,4
g00_006,s0_seq128,transformer_mlp_swiglu,1,128,512,1024,fp16,fused_chunk_manual_silu,0,fusion_related_gate_up_projection,"fused gate/up projection, chunk split, manual gate * sigmoid(gate) * up",30,0.06656000018119812,0.0674133338034153,0.0025371432584557784,0.037635629560382924,5
g00_006,s0_seq128,transformer_mlp_swiglu,1,128,512,1024,fp16,fused_chunk_silu,0,fusion_related_gate_up_projection,"fused gate/up projection, chunk split, F.silu(gate) * up",30,0.058368001133203506,0.05935786763827006,0.003978985697327987,0.06703383823651034,1
g00_006,s0_seq128,transformer_mlp_swiglu,1,128,512,1024,fp16,fused_split_inplace_silu,0,fusion_related_gate_up_projection,"fused gate/up projection, torch.split, F.silu(gate) then inplace multiply",30,0.058368001133203506,0.059699201087156935,0.003428489112487282,0.05742939687721971,2
g00_006,s0_seq128,transformer_mlp_swiglu,1,128,512,1024,fp16,separate_inplace_silu,0,fusion_related_gate_up_projection,"separate gate/up projections, F.silu(gate) then inplace multiply",30,0.06348799914121628,0.06420479938387871,0.0016115132593322193,0.025099576274618136,3
g00_006,s0_seq128,transformer_mlp_swiglu,1,128,512,1024,fp16,separate_manual_silu,0,fusion_related_gate_up_projection,"separate gate/up projections, manual gate * sigmoid(gate) * up",30,0.06963200122117996,0.07007573445638021,0.0025862616763313237,0.03690666528712852,6
g00_007,s0_seq128,transformer_mlp_swiglu,1,128,768,1536,fp16,baseline_separate_silu,1,fusion_related_gate_up_projection,"default: separate gate_proj and up_proj, F.silu(gate) * up",30,0.07065600156784058,0.0714410682519277,0.0019905907937049594,0.027863396256693672,3
