graph_id,shape_id,block_type,batch_size,seq_len,hidden_dim,intermediate_dim,dtype,candidate_id,is_baseline,rewrite_family,plan_desc,num_measure_runs,latency_p50_ms,latency_mean_ms,latency_std_ms,latency_cv,latency_rank_within_graph
g00_000,s0_seq128,transformer_mlp_swiglu,1,128,512,1024,fp16,baseline_separate_silu,1,fusion_related_gate_up_projection,"default: separate gate_proj and up_proj, F.silu(gate) * up",3,0.058368001133203506,0.058368001133203506,0.0008360927819171975,0.01432450599103305,4
g00_000,s0_seq128,transformer_mlp_swiglu,1,128,512,1024,fp16,fused_chunk_manual_silu,0,fusion_related_gate_up_projection,"fused gate/up projection, chunk split, manual gate * sigmoid(gate) * up",3,0.058368001133203506,0.059050666789213814,0.001740464211807217,0.029474082282930802,5
g00_000,s0_seq128,transformer_mlp_swiglu,1,128,512,1024,fp16,fused_chunk_silu,0,fusion_related_gate_up_projection,"fused gate/up projection, chunk split, F.silu(gate) * up",3,0.05222399905323982,0.052565332502126694,0.0012771528203805876,0.024296485146915344,1
g00_000,s0_seq128,transformer_mlp_swiglu,1,128,512,1024,fp16,fused_split_inplace_silu,0,fusion_related_gate_up_projection,"fused gate/up projection, torch.split, F.silu(gate) then inplace multiply",3,0.05632000043988228,0.05597866699099541,0.0012771528203805876,0.022814991657197328,3
g00_000,s0_seq128,transformer_mlp_swiglu,1,128,512,1024,fp16,separate_inplace_silu,0,fusion_related_gate_up_projection,"separate gate/up projections, F.silu(gate) then inplace multiply",3,0.05632000043988228,0.05632000043988228,0.0,0.0,2
g00_000,s0_seq128,transformer_mlp_swiglu,1,128,512,1024,fp16,separate_manual_silu,0,fusion_related_gate_up_projection,"separate gate/up projections, manual gate * sigmoid(gate) * up",3,0.06348799914121628,0.0631466656923294,0.0012771528203805876,0.020225182222657352,6
g01_000,s1_seq512,transformer_mlp_swiglu,1,512,768,3072,fp16,baseline_separate_silu,1,fusion_related_gate_up_projection,"default: separate gate_proj and up_proj, F.silu(gate) * up",3,0.11776000261306763,0.11741866916418076,0.0012771528203805876,0.010876914458933337,2
g01_000,s1_seq512,transformer_mlp_swiglu,1,512,768,3072,fp16,fused_chunk_manual_silu,0,fusion_related_gate_up_projection,"fused gate/up projection, chunk split, manual gate * sigmoid(gate) * up",3,0.1372160017490387,0.13687466581662497,0.00048272190494477295,0.003526743989216308,6
g01_000,s1_seq512,transformer_mlp_swiglu,1,512,768,3072,fp16,fused_chunk_silu,0,fusion_related_gate_up_projection,"fused gate/up projection, chunk split, F.silu(gate) * up",3,0.12390399724245071,0.12356266379356384,0.0004827183927073971,0.003906668712758368,4
g01_000,s1_seq512,transformer_mlp_swiglu,1,512,768,3072,fp16,fused_split_inplace_silu,0,fusion_related_gate_up_projection,"fused gate/up projection, torch.split, F.silu(gate) then inplace multiply",3,0.1228799968957901,0.12322133034467697,0.0004827183927073971,0.00391749051367266,3
g01_000,s1_seq512,transformer_mlp_swiglu,1,512,768,3072,fp16,separate_inplace_silu,0,fusion_related_gate_up_projection,"separate gate/up projections, F.silu(gate) then inplace multiply",3,0.11468800157308578,0.11502933502197266,0.0004827183927073971,0.00419648077262369,1
g01_000,s1_seq512,transformer_mlp_swiglu,1,512,768,3072,fp16,separate_manual_silu,0,fusion_related_gate_up_projection,"separate gate/up projections, manual gate * sigmoid(gate) * up",3,0.12492799758911133,0.1269759957989057,0.0036444404547468397,0.028701806446303515,5
g02_000,s2_seq2048,transformer_mlp_swiglu,1,2048,768,2304,fp16,baseline_separate_silu,1,fusion_related_gate_up_projection,"default: separate gate_proj and up_proj, F.silu(gate) * up",3,0.24473600089550018,0.24473599592844644,0.0008360927819245747,0.0034163048992965606,2
g02_000,s2_seq2048,transformer_mlp_swiglu,1,2048,768,2304,fp16,fused_chunk_manual_silu,0,fusion_related_gate_up_projection,"fused gate/up projection, chunk split, manual gate * sigmoid(gate) * up",3,0.3041279911994934,0.3041280011336009,0.0008360866985731226,0.0027491276549897053,6
g02_000,s2_seq2048,transformer_mlp_swiglu,1,2048,768,2304,fp16,fused_chunk_silu,0,fusion_related_gate_up_projection,"fused gate/up projection, chunk split, F.silu(gate) * up",3,0.2744320034980774,0.27374933163324994,0.0009654438098895459,0.003526743989216308,5
g02_000,s2_seq2048,transformer_mlp_swiglu,1,2048,768,2304,fp16,fused_split_inplace_silu,0,fusion_related_gate_up_projection,"fused gate/up projection, torch.split, F.silu(gate) then inplace multiply",3,0.27033600211143494,0.2699946661790212,0.0012771621128872298,0.004730323494762677,4
g02_000,s2_seq2048,transformer_mlp_swiglu,1,2048,768,2304,fp16,separate_inplace_silu,0,fusion_related_gate_up_projection,"separate gate/up projections, F.silu(gate) then inplace multiply",3,0.24268800020217896,0.2433706670999527,0.0009654367854147941,0.003966939799767602,1
g02_000,s2_seq2048,transformer_mlp_swiglu,1,2048,768,2304,fp16,separate_manual_silu,0,fusion_related_gate_up_projection,"separate gate/up projections, manual gate * sigmoid(gate) * up",3,0.2590720057487488,0.25941333174705505,0.0012771488378860202,0.00492321974851826,3
