block_id,backend_mode,candidate_id,is_baseline,rewrite_family,batch_size,seq_len,hidden_dim,intermediate_dim,dtype,num_measure_runs,latency_p50_ms,latency_mean_ms,latency_std_ms,latency_cv,latency_p10_ms,latency_p90_ms,latency_rank_within_block_backend,compile_prime_time_ms
b0_seq128_h1024_i4096,compile,p0_baseline_separate_silu,True,fusion_related_gate_up_projection,1,128,1024,4096,fp16,30,0.09779200330376625,0.09960106710592906,0.006254430562804272,0.06279481480005106,0.0942080020904541,0.10772479921579362,5,16782.692596898414
b0_seq128_h1024_i4096,compile,p1_separate_manual_silu,False,fusion_related_gate_up_projection,1,128,1024,4096,fp16,30,0.09932799637317657,0.10055680001775423,0.004676347245023198,0.046504535190037326,0.09523200243711472,0.10772479921579362,6,330.5838080123067
b0_seq128_h1024_i4096,compile,p2_separate_inplace_silu_mul,False,fusion_related_gate_up_projection,1,128,1024,4096,fp16,30,0.09728000313043594,0.09840640102823575,0.0037681766807664556,0.03829198752716556,0.0942080020904541,0.10158079713582992,4,216.0558319883421
b0_seq128_h1024_i4096,compile,p3_fused_chunk_silu,False,fusion_related_gate_up_projection,1,128,1024,4096,fp16,30,0.08857600018382072,0.09000960017244021,0.004953816302305611,0.05503653269001417,0.08601599931716919,0.0942080020904541,1,358.8708440074697
b0_seq128_h1024_i4096,compile,p4_fused_split_silu_inplace,False,fusion_related_gate_up_projection,1,128,1024,4096,fp16,30,0.09062400087714195,0.09086293379465739,0.004688189268203856,0.05159627883905632,0.08601599931716919,0.09625600278377533,3,222.4388209870085
b0_seq128_h1024_i4096,compile,p5_fused_chunk_manual_silu,False,fusion_related_gate_up_projection,1,128,1024,4096,fp16,30,0.08960000053048134,0.08966826697190602,0.00422363065619665,0.04710284695833317,0.08499199897050858,0.09523200243711472,2,353.8476879475638
b1_seq128_h768_i3072,compile,p0_baseline_separate_silu,True,fusion_related_gate_up_projection,1,128,768,3072,fp16,30,0.10035199671983719,0.10342399974664053,0.015368236956168266,0.1485944944482527,0.09625600278377533,0.10659839883446694,5,356.1820239992812
b1_seq128_h768_i3072,compile,p1_separate_manual_silu,False,fusion_related_gate_up_projection,1,128,768,3072,fp16,30,0.09881599992513657,0.10024960041046142,0.004660468999457213,0.046488654123062974,0.09512960240244865,0.10649599879980087,4,367.2460560919717
b1_seq128_h768_i3072,compile,p2_separate_inplace_silu_mul,False,fusion_related_gate_up_projection,1,128,768,3072,fp16,30,0.10035199671983719,0.10171733324726423,0.005312924703266284,0.052232245318023805,0.09728000313043594,0.10690559893846513,6,246.67061504442245
b1_seq128_h768_i3072,compile,p3_fused_chunk_silu,False,fusion_related_gate_up_projection,1,128,768,3072,fp16,30,0.09011200070381165,0.09233066687981288,0.005419054238353673,0.05869181303983944,0.08796159997582435,0.10035199671983719,1,376.17564108222723
b1_seq128_h768_i3072,compile,p4_fused_split_silu_inplace,False,fusion_related_gate_up_projection,1,128,768,3072,fp16,30,0.09011200070381165,0.09106773386398952,0.004343909309730762,0.04769976286242534,0.0870399996638298,0.09830400347709656,2,231.3313700724393
b1_seq128_h768_i3072,compile,p5_fused_chunk_manual_silu,False,fusion_related_gate_up_projection,1,128,768,3072,fp16,30,0.09011200070381165,0.09188693389296532,0.004191403419402381,0.04561479246096888,0.08806400001049042,0.09840640276670456,3,361.4177400013432
b2_seq512_h768_i3072,compile,p0_baseline_separate_silu,True,fusion_related_gate_up_projection,1,512,768,3072,fp16,30,0.11468800157308578,0.11499520118037859,0.0035589427950642304,0.03094862010356208,0.11161600053310394,0.11898880302906037,5,759.6309289801866
b2_seq512_h768_i3072,compile,p1_separate_manual_silu,False,fusion_related_gate_up_projection,1,512,768,3072,fp16,30,0.11264000087976456,0.11257173418998719,0.0035971763444452767,0.03195452544396559,0.1085439994931221,0.11581440195441246,3,460.1270519196987
b2_seq512_h768_i3072,compile,p2_separate_inplace_silu_mul,False,fusion_related_gate_up_projection,1,512,768,3072,fp16,30,0.11264000087976456,0.11356160094340642,0.002255526578448551,0.019861701135867185,0.11161600053310394,0.11489280164241791,4,13.793522026389837
b2_seq512_h768_i3072,compile,p3_fused_chunk_silu,False,fusion_related_gate_up_projection,1,512,768,3072,fp16,30,0.10956799983978271,0.11038719986875851,0.003175026393162701,0.028762631871607863,0.10751999914646149,0.11274240091443061,1,500.04939700011164
b2_seq512_h768_i3072,compile,p4_fused_split_silu_inplace,False,fusion_related_gate_up_projection,1,512,768,3072,fp16,30,0.10956799983978271,0.11031893317898114,0.0030416400726011534,0.027571333269389077,0.10751999914646149,0.11376640126109124,2,351.2983770342544
b2_seq512_h768_i3072,compile,p5_fused_chunk_manual_silu,False,fusion_related_gate_up_projection,1,512,768,3072,fp16,30,0.12902399897575378,0.12953600138425828,0.002043578591964779,0.015776143852878902,0.12800000607967377,0.13209599256515503,6,10.481736971996725
