block_id,backend_mode,candidate_id,is_baseline,rewrite_family,batch_size,seq_len,hidden_dim,intermediate_dim,dtype,num_measure_runs,latency_p50_ms,latency_mean_ms,latency_std_ms,latency_cv,latency_p10_ms,latency_p90_ms,latency_rank_within_block_backend,compile_prime_time_ms
b0_seq128_h1024_i4096,eager,p0_baseline_separate_silu,True,fusion_related_gate_up_projection,1,128,1024,4096,fp16,30,0.07168000191450119,0.07277226795752843,0.003088823280810765,0.042445060013980504,0.06963200122117996,0.0780287966132164,3,0.0
b0_seq128_h1024_i4096,eager,p1_separate_manual_silu,False,fusion_related_gate_up_projection,1,128,1024,4096,fp16,30,0.07577600330114365,0.07649280155698458,0.0028981799692584225,0.03788827066425819,0.07464960291981697,0.0780287966132164,5,0.0
b0_seq128_h1024_i4096,eager,p2_separate_inplace_silu_mul,False,fusion_related_gate_up_projection,1,128,1024,4096,fp16,30,0.07065600156784058,0.07232853497068087,0.009348379003690597,0.12924883667946627,0.06860800087451935,0.07475200295448303,2,0.0
b0_seq128_h1024_i4096,eager,p3_fused_chunk_silu,False,fusion_related_gate_up_projection,1,128,1024,4096,fp16,30,0.07014400139451027,0.07092906807859739,0.002754689733733406,0.03883724696172378,0.06860800087451935,0.07383040264248847,1,0.0
b0_seq128_h1024_i4096,eager,p4_fused_split_silu_inplace,False,fusion_related_gate_up_projection,1,128,1024,4096,fp16,30,0.07475200295448303,0.07703893408179283,0.004066614573480682,0.05278648545634245,0.0727040022611618,0.08202239796519278,4,0.0
b0_seq128_h1024_i4096,eager,p5_fused_chunk_manual_silu,False,fusion_related_gate_up_projection,1,128,1024,4096,fp16,30,0.07680000364780426,0.07949653491377831,0.006146842854146522,0.07732214820197343,0.07475200295448303,0.08755199983716012,6,0.0
b1_seq128_h768_i3072,eager,p0_baseline_separate_silu,True,fusion_related_gate_up_projection,1,128,768,3072,fp16,30,0.0798719972372055,0.08157866497834523,0.0042462560333923465,0.05205106058697455,0.07874559685587883,0.08540159910917283,4,0.0
b1_seq128_h768_i3072,eager,p1_separate_manual_silu,False,fusion_related_gate_up_projection,1,128,768,3072,fp16,30,0.08499199897050858,0.08683519959449768,0.005578944713933215,0.06424750262549896,0.08396799862384796,0.09543680250644684,6,0.0
b1_seq128_h768_i3072,eager,p2_separate_inplace_silu_mul,False,fusion_related_gate_up_projection,1,128,768,3072,fp16,30,0.0793599970638752,0.08188586408893267,0.006445471748657021,0.0787128745647341,0.07884799689054489,0.08693759962916375,3,0.0
b1_seq128_h768_i3072,eager,p3_fused_chunk_silu,False,fusion_related_gate_up_projection,1,128,768,3072,fp16,30,0.07116800174117088,0.07376213471094767,0.005272962437988457,0.07148603356792292,0.06963200122117996,0.07895039692521096,1,0.0
b1_seq128_h768_i3072,eager,p4_fused_split_silu_inplace,False,fusion_related_gate_up_projection,1,128,768,3072,fp16,30,0.08089599758386612,0.08239786475896835,0.004593134147853948,0.055743363754508245,0.07884799689054489,0.08826880007982255,5,0.0
b1_seq128_h768_i3072,eager,p5_fused_chunk_manual_silu,False,fusion_related_gate_up_projection,1,128,768,3072,fp16,30,0.07628800347447395,0.0815104012688001,0.010333497388990122,0.12677519958358363,0.07372800260782242,0.09267200082540514,2,0.0
b2_seq512_h768_i3072,eager,p0_baseline_separate_silu,True,fusion_related_gate_up_projection,1,512,768,3072,fp16,30,0.08908800035715103,0.09065813372532526,0.004075941268236237,0.04495946586089524,0.08898560032248497,0.09226240143179892,2,0.0
b2_seq512_h768_i3072,eager,p1_separate_manual_silu,False,fusion_related_gate_up_projection,1,512,768,3072,fp16,30,0.0942080020904541,0.09687040150165557,0.005950268993420514,0.0614250472918585,0.09318400174379349,0.106700798869133,3,0.0
b2_seq512_h768_i3072,eager,p2_separate_inplace_silu_mul,False,fusion_related_gate_up_projection,1,512,768,3072,fp16,30,0.08857600018382072,0.09021440049012502,0.003853570859398799,0.042715695481683275,0.08806400001049042,0.09533440247178078,1,0.0
b2_seq512_h768_i3072,eager,p3_fused_chunk_silu,False,fusion_related_gate_up_projection,1,512,768,3072,fp16,30,0.0942080020904541,0.0956074687341849,0.0031301043381113947,0.03273911943860732,0.09318400174379349,0.09728000313043594,4,0.0
b2_seq512_h768_i3072,eager,p4_fused_split_silu_inplace,False,fusion_related_gate_up_projection,1,512,768,3072,fp16,30,0.09472000226378441,0.09547093560298284,0.0037809504014337187,0.03960315647431017,0.09318400174379349,0.09625600278377533,5,0.0
b2_seq512_h768_i3072,eager,p5_fused_chunk_manual_silu,False,fusion_related_gate_up_projection,1,512,768,3072,fp16,30,0.10342399775981903,0.10373119786381721,0.0035892938588930083,0.0346018741980131,0.1013759970664978,0.10465279817581177,6,0.0
